"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source"
"8/7/2026","HYP40022500","Product","Texture Issue","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","Shadowfax","8_Aug'26","8_Aug Week 1","whatsapp"
"8/7/2026","HYP42119930","Product","Texture Issue","2% Cica Exosomes Oil-Free Moisturizer - 50ml","HYPMUBX044F050","","Shadowfax","8_Aug'26","8_Aug Week 1","instagram"
"8/6/2026","HYP41675150","Product","Texture Issue","VIP HAZEL LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX022F010","","DELHIVERY","8_Aug'26","8_Aug Week 1","whatsapp"
"8/10/2026","HYP43073110","Product","Texture Issue","7% Ceramides-NMF Face Moisturizer Rich Pillow Cream - 50 ml","HYPMUBX028F050","","ElasticRun","8_Aug'26","8_Aug Week 2","whatsapp"
"8/10/2026","HYP40901280","Product","Texture Issue","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","DTDC","8_Aug'26","8_Aug Week 2","whatsapp"
"8/8/2026","HYP42362950","Product","Texture Issue","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","DELHIVERY","8_Aug'26","8_Aug Week 2","whatsapp"
"8/10/2026","HYP42938560","Product","Texture Issue","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","DELHIVERY","8_Aug'26","8_Aug Week 2","whatsapp"
"8/13/2026","HYP42517960","Product","Texture Issue","Bright Barrier Body Lotion 200ml","HYPMUBX0055F0200","","Pikndel","8_Aug'26","8_Aug Week 2","whatsapp"
"8/12/2026","HYP40710060","Product","Texture Issue","MANGO LIP SCREEN SPF 50 PA++++ WITH 2% KOJIC ACID","HYPMUBX034F010","","Shadowfax","8_Aug'26","8_Aug Week 2","instagram"
"8/14/2026","HYP39160770","Product","Texture Issue","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Shadowfax","8_Aug'26","8_Aug Week 2","whatsapp"
"8/16/2026","HYP42153130","Product","Texture Issue","MANGO LIP SCREEN SPF 50 PA++++ WITH 2% KOJIC ACID","HYPMUBX034F010","","Shadowfax","8_Aug'26","8_Aug Week 3","whatsapp"
"8/17/2026","HYP40170240","Product","Texture Issue","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Shadowfax","8_Aug'26","8_Aug Week 3","whatsapp"
"8/17/2026","HYP41357770","Product","Texture Issue","VIP Orchid Lip Balm, 1% Vit E & Peptides- 10g","HYPMUBX042F010","","Shadowfax","8_Aug'26","8_Aug Week 3","whatsapp"
"8/17/2026","HYP40048410","Product","Texture Issue","Bright Barrier Body Lotion 200ml","HYPMUBX0055F0200","","Shadowfax","8_Aug'26","8_Aug Week 3","whatsapp"
"8/17/2026","HYP40450990","Product","Texture Issue","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Shadowfax","8_Aug'26","8_Aug Week 3","whatsapp"
"8/17/2026","HYP42918220","Product","Texture Issue","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Shadowfax","8_Aug'26","8_Aug Week 3","whatsapp"
